划分,序列,原序列总帧数,合成后读取记录总数,异常物体,异常帧号范围,异常点数中位数,插入正常物体,插入正常帧号范围,插入正常点数中位数
训练,scene-0356,39,39,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 汽车 [6153998d],无,无
训练,scene-0357,41,82,软质袋或袋组 [#19],0-40,29,未放置; 预分配 摩托车 [3f20986e],无,无
训练,scene-0358,40,80,软质袋或袋组 [#22],0-39,15,未放置; 预分配 成年行人 [deb5aaf4],无,无
训练,scene-0359,40,56,料斗式搬运车 [#58],0-4,7,汽车 [94e80b2d],0-4; 6-7,3
训练,scene-0360,40,67,未放置; 预分配 两轮手扶搬运车 [#56],无,无,汽车 [33f4abf6],0-14; 17; 19-20,3.5
训练,scene-0361,40,40,未放置; 预分配 软质袋或袋组 [#27],无,无,未放置; 预分配 摩托车 [762fb475],无,无
训练,scene-0362,40,54,罩顶垃圾桶 [#38],0-11,6,未放置; 预分配 汽车 [379705eb],无,无
训练,scene-0363,41,64,软质袋或袋组 [#22],0-1,8.5,成年行人 [8bb5895d],1-13; 21; 23,9
训练,scene-0364,40,58,软质袋或袋组 [#20],1-5,8,成年行人 [c910dda7],28-33,6
训练,scene-0365,40,41,罩顶垃圾桶 [#38],0,84,未放置; 预分配 汽车 [42f44ec8],无,无
训练,scene-0366,40,40,未放置; 预分配 软质袋或袋组 [#19],无,无,未放置; 预分配 自行车 [9d8131e4],无,无
训练,scene-0367,40,50,未放置; 预分配 软质袋或袋组 [#27],无,无,自行车 [ccc00072],0-4; 6; 8,4
训练,scene-0368,40,83,软质袋或袋组 [#28],0; 3-4,1,自行车 [1609860c],0-39,5
训练,scene-0369,40,40,未放置; 预分配 平盖带轮垃圾桶 [#40],无,无,未放置; 预分配 摩托车 [b2c149e6],无,无
训练,scene-0370,40,56,平盖带轮垃圾桶 [#39],31-39,21,摩托车 [e9bcfbaa],0-2,35
训练,scene-0371,40,53,街旁小型垃圾桶 [#45],0-3,7,成年行人 [09cb7a45],11-16,3.5
训练,scene-0372,40,79,开口塑料垃圾桶 [#54],2; 9; 13-22; 24-28,6,汽车 [247eec57],20-28,23
训练,scene-0373,40,40,未放置; 预分配 带脚轮金属工具箱 [#55],无,无,未放置; 预分配 自行车 [01f707a8],无,无
训练,scene-0374,41,82,未放置; 预分配 大型垃圾箱 [#32],无,无,成年行人 [ec4d4028],0-40,127
训练,scene-0375,40,66,开口塑料垃圾桶 [#53],0-10,8,自行车 [d41bf164],29-39,3
训练,scene-0376,41,49,软质袋或袋组 [#21],0-2; 4,5.5,自行车 [7a302084],0-2,60
训练,scene-0377,40,40,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 汽车 [b0164c85],无,无
训练,scene-0378,40,40,未放置; 预分配 大型垃圾箱 [#31],无,无,未放置; 预分配 摩托车 [0efd1b1f],无,无
训练,scene-0379,39,60,罩顶垃圾桶 [#37],0-11; 17,18,汽车 [961430cb],34; 38,5
训练,scene-0380,41,41,未放置; 预分配 软质袋或袋组 [#26],无,无,未放置; 预分配 汽车 [6db8854c],无,无
训练,scene-0381,40,49,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,成年行人 [a2c6d17f],0-5; 7,2
训练,scene-0382,40,51,平盖带轮垃圾桶 [#41],0-9,21,未放置; 预分配 自行车 [2ba7d7ee],无,无
训练,scene-0383,40,50,未放置; 预分配 软质袋或袋组 [#25],无,无,汽车 [cbb53cd2],31; 34-39,29
训练,scene-0384,40,55,软质袋或袋组 [#23],0-3; 5-9,1,未放置; 预分配 自行车 [a3bb10ee],无,无
训练,scene-0385,40,40,未放置; 预分配 料斗式搬运车 [#58],无,无,未放置; 预分配 汽车 [0d8a3b7c],无,无
训练,scene-0386,40,73,未放置; 预分配 两轮手扶搬运车 [#56],无,无,摩托车 [1f123d2f],0-12; 16-20; 22; 24-25,2
训练,scene-0388,41,65,软质袋或袋组 [#22],17-18; 20-22; 24-40,5,未放置; 预分配 自行车 [a5f6e663],无,无
训练,scene-0389,40,40,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 摩托车 [9e70ff62],无,无
训练,scene-0390,40,55,平盖带轮垃圾桶 [#40],0-7,4,摩托车 [3f4035ef],0-5,26
训练,scene-0391,40,40,未放置; 预分配 料斗式搬运车 [#58],无,无,未放置; 预分配 自行车 [b399ba0a],无,无
训练,scene-0392,40,43,平盖带轮垃圾桶 [#39],37-39,131,未放置; 预分配 成年行人 [7a61869c],无,无
训练,scene-0393,40,40,未放置; 预分配 软质袋或袋组 [#27],无,无,未放置; 预分配 自行车 [12c1f51f],无,无
训练,scene-0394,40,40,未放置; 预分配 街旁小型垃圾桶 [#45],无,无,未放置; 预分配 汽车 [ec23c028],无,无
训练,scene-0395,40,61,软质袋或袋组 [#21],9; 12-20; 23,3,摩托车 [d1c61ff8],34-39,10
训练,scene-0396,40,62,平盖带轮垃圾桶 [#41],23-34,8.5,自行车 [92e4fcad],33; 36; 38-39,2.5
训练,scene-0397,40,83,软质袋或袋组 [#28],1; 4-5; 11-12; 14-16; 23; 36-37,2,自行车 [32b4cf32],0-5; 14-24; 26-29; 32; 36-37,16
训练,scene-0398,41,41,未放置; 预分配 软质袋或袋组 [#26],无,无,未放置; 预分配 汽车 [f1fab3b8],无,无
训练,scene-0399,41,41,未放置; 预分配 罩顶垃圾桶 [#37],无,无,未放置; 预分配 摩托车 [a44e3f16],无,无
训练,scene-0400,40,40,未放置; 预分配 大型垃圾箱 [#31],无,无,未放置; 预分配 汽车 [c83f0d76],无,无
训练,scene-0401,40,40,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 摩托车 [4552905b],无,无
训练,scene-0402,40,40,未放置; 预分配 带脚轮金属工具箱 [#55],无,无,未放置; 预分配 摩托车 [bce02974],无,无
训练,scene-0403,41,41,未放置; 预分配 罩顶垃圾桶 [#38],无,无,未放置; 预分配 汽车 [2f8c4101],无,无
训练,scene-0405,40,50,软质袋或袋组 [#20],16-20; 22-23,6,未放置; 预分配 汽车 [df018370],无,无
训练,scene-0406,40,41,软质袋或袋组 [#23],0,9,未放置; 预分配 成年行人 [fa444ea3],无,无
训练,scene-0407,40,43,开口塑料垃圾桶 [#54],0,60,摩托车 [4848fe7a],0; 2,86
训练,scene-0408,41,67,未放置; 预分配 软质袋或袋组 [#25],无,无,摩托车 [57d049b9],0-6; 10-23; 26-28,11.5
训练,scene-0410,40,63,开口塑料垃圾桶 [#53],29-30; 34-39,2,成年行人 [8f8925fa],33-39,8
训练,scene-0411,41,73,软质袋或袋组 [#19],0-3,38,汽车 [f9f45964],20-21; 24-32,8
训练,scene-0412,41,58,罩顶垃圾桶 [#37],0-7; 9,4,未放置; 预分配 摩托车 [10628212],无,无
训练,scene-0413,41,52,街旁小型垃圾桶 [#45],0-5,13,自行车 [8967165a],19; 21-23,2
训练,scene-0414,41,49,料斗式搬运车 [#58],13-19,19,未放置; 预分配 摩托车 [c11ddb7a],无,无
训练,scene-0415,40,50,软质袋或袋组 [#23],5-9; 12,1,未放置; 预分配 摩托车 [d0cc6cb7],无,无
训练,scene-0416,41,41,未放置; 预分配 软质袋或袋组 [#22],无,无,未放置; 预分配 成年行人 [7ab3b9dd],无,无
训练,scene-0417,40,53,未放置; 预分配 软质袋或袋组 [#26],无,无,摩托车 [9edcbec8],29-30; 32-39,3.5
训练,scene-0418,41,44,平盖带轮垃圾桶 [#39],0,142,自行车 [7de03ece],0,6
训练,scene-0419,41,41,未放置; 预分配 软质袋或袋组 [#19],无,无,未放置; 预分配 摩托车 [a9ef6f8b],无,无
训练,scene-0420,41,41,未放置; 预分配 软质袋或袋组 [#20],无,无,未放置; 预分配 汽车 [209d5f37],无,无
训练,scene-0421,41,41,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 自行车 [e0b64e7e],无,无
训练,scene-0422,40,40,未放置; 预分配 平盖带轮垃圾桶 [#41],无,无,未放置; 预分配 成年行人 [344bf54d],无,无
训练,scene-0423,41,41,未放置; 预分配 开口塑料垃圾桶 [#54],无,无,未放置; 预分配 摩托车 [5de068e9],无,无
训练,scene-0424,41,41,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 汽车 [fec7c670],无,无
训练,scene-0425,41,41,未放置; 预分配 软质袋或袋组 [#27],无,无,未放置; 预分配 成年行人 [bc67b906],无,无
训练,scene-0426,41,41,未放置; 预分配 带脚轮金属工具箱 [#55],无,无,未放置; 预分配 摩托车 [507a362b],无,无
训练,scene-0427,41,66,软质袋或袋组 [#21],0; 2-6,5.5,自行车 [6a6beadb],21-35,5
训练,scene-0428,41,41,未放置; 预分配 罩顶垃圾桶 [#38],无,无,未放置; 预分配 自行车 [91af0328],无,无
训练,scene-0429,40,40,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 自行车 [8b42de0f],无,无
训练,scene-0430,41,52,开口塑料垃圾桶 [#53],33; 37-40,4,未放置; 预分配 自行车 [08caa9e5],无,无
训练,scene-0431,41,53,软质袋或袋组 [#28],0-2,2,成年行人 [03da828f],0-5; 7,1
训练,scene-0432,40,40,未放置; 预分配 软质袋或袋组 [#25],无,无,未放置; 预分配 自行车 [625fa60b],无,无
训练,scene-0433,41,41,未放置; 预分配 大型垃圾箱 [#31],无,无,未放置; 预分配 摩托车 [6f5c316c],无,无
训练,scene-0434,41,41,未放置; 预分配 平盖带轮垃圾桶 [#40],无,无,未放置; 预分配 汽车 [47ce853d],无,无
训练,scene-0435,40,40,未放置; 预分配 平盖带轮垃圾桶 [#40],无,无,未放置; 预分配 汽车 [366abe40],无,无
训练,scene-0436,40,55,未放置; 预分配 软质袋或袋组 [#26],无,无,成年行人 [e3680485],0-2; 5-11,11
训练,scene-0437,40,53,软质袋或袋组 [#28],0-3; 6,1,成年行人 [c453070a],0-4; 7,3.5
训练,scene-0438,41,55,罩顶垃圾桶 [#38],0-6,17,自行车 [8a956117],0-3; 5,2
训练,scene-0439,41,41,未放置; 预分配 软质袋或袋组 [#27],无,无,未放置; 预分配 摩托车 [07c804bd],无,无
训练,scene-0440,41,63,软质袋或袋组 [#19],0-5; 7; 11-12,2,成年行人 [9f230b87],5-6; 8-10,2
训练,scene-0441,40,69,平盖带轮垃圾桶 [#41],0-6; 11-12,284,自行车 [5f4e48e9],0-9; 11-13,3
训练,scene-0442,41,44,带脚轮金属工具箱 [#55],0-2,2,未放置; 预分配 自行车 [b9cdbe71],无,无
训练,scene-0443,41,109,街旁小型垃圾桶 [#45],0-8; 11; 16; 20-21; 23-30; 35,2,自行车 [dc36c47c],0-9; 11-13; 15; 17; 19; 22; 24-27; 29-30,1
训练,scene-0444,41,44,开口塑料垃圾桶 [#54],0; 3-4,33,未放置; 预分配 成年行人 [1e579651],无,无
训练,scene-0445,40,70,罩顶垃圾桶 [#37],0-7; 11; 15,8,自行车 [253eeaed],2-9,11.5
训练,scene-0446,41,46,料斗式搬运车 [#58],0-2,12,成年行人 [36e7a4a6],0,37
训练,scene-0447,40,65,平盖带轮垃圾桶 [#39],0-2; 6; 9-11; 13,1,自行车 [99c9689d],0,2
训练,scene-0448,41,51,未放置; 预分配 大型垃圾箱 [#31],无,无,摩托车 [61c60295],0-4,11
训练,scene-0449,41,48,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,自行车 [656b87fc],0-1,3
训练,scene-0450,40,66,开口塑料垃圾桶 [#53],4-5; 8-9,8.5,摩托车 [a73d7a70],3-9; 11; 15-16,4
训练,scene-0451,40,57,未放置; 预分配 软质袋或袋组 [#25],无,无,摩托车 [b2710614],0-12,15
训练,scene-0452,40,62,软质袋或袋组 [#23],2-3; 5-7,2,成年行人 [3f647d1a],12-13; 16-19; 22,2
训练,scene-0453,41,44,软质袋或袋组 [#21],5; 9,12,未放置; 预分配 成年行人 [bd42d669],无,无
训练,scene-0454,40,62,软质袋或袋组 [#22],0-1; 8; 10,4.5,成年行人 [29f6d84e],2-10,9
训练,scene-0455,41,50,软质袋或袋组 [#20],0; 3,20,自行车 [91c7df9a],0-1,2.5
训练,scene-0456,41,41,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 成年行人 [c0db8f4a],无,无
训练,scene-0457,41,41,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 汽车 [46c8b511],无,无
训练,scene-0458,41,52,平盖带轮垃圾桶 [#41],0-10,39,未放置; 预分配 成年行人 [142e7a14],无,无
训练,scene-0459,41,41,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 汽车 [4649b29c],无,无
训练,scene-0461,41,48,开口塑料垃圾桶 [#53],32-35; 38,4,未放置; 预分配 成年行人 [ebd5750f],无,无
训练,scene-0462,41,46,未放置; 预分配 软质袋或袋组 [#26],无,无,自行车 [4c245ad7],0-1,2.5
训练,scene-0463,40,40,未放置; 预分配 大型垃圾箱 [#31],无,无,未放置; 预分配 摩托车 [cf363ac2],无,无
训练,scene-0464,41,82,软质袋或袋组 [#19],0-40,38,未放置; 预分配 汽车 [5c9e71be],无,无
训练,scene-0465,41,48,料斗式搬运车 [#58],25-26; 28-30,11,未放置; 预分配 摩托车 [70fd7ae5],无,无
训练,scene-0467,40,80,带脚轮金属工具箱 [#55],0-39,62,未放置; 预分配 汽车 [9295209d],无,无
训练,scene-0468,41,41,未放置; 预分配 软质袋或袋组 [#28],无,无,未放置; 预分配 汽车 [d2d280fc],无,无
训练,scene-0469,40,55,软质袋或袋组 [#21],3-5,7,自行车 [36fa14fe],2; 5-8,4
训练,scene-0471,40,40,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 汽车 [af2b3b77],无,无
训练,scene-0472,40,44,未放置; 预分配 罩顶垃圾桶 [#38],无,无,成年行人 [371f8908],0-3,6
训练,scene-0474,40,40,未放置; 预分配 开口塑料垃圾桶 [#54],无,无,未放置; 预分配 摩托车 [20f0a30b],无,无
训练,scene-0475,41,41,未放置; 预分配 街旁小型垃圾桶 [#45],无,无,未放置; 预分配 成年行人 [d3eceacb],无,无
训练,scene-0476,41,43,软质袋或袋组 [#22],27-28,7,未放置; 预分配 自行车 [f0af9c2d],无,无
训练,scene-0477,41,47,平盖带轮垃圾桶 [#40],0-5,57,未放置; 预分配 摩托车 [8e7e45e8],无,无
训练,scene-0478,40,40,未放置; 预分配 软质袋或袋组 [#25],无,无,未放置; 预分配 汽车 [eded0c5f],无,无
训练,scene-0479,41,63,罩顶垃圾桶 [#37],14-30,6,未放置; 预分配 汽车 [31bdd981],无,无
训练,scene-0480,40,67,软质袋或袋组 [#23],14-21,3,成年行人 [df90ba84],5-18,2
训练,scene-0499,40,40,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 汽车 [1427ee2e],无,无
训练,scene-0500,40,57,平盖带轮垃圾桶 [#39],2-12,31,自行车 [336326d2],0-2,4
训练,scene-0501,39,39,未放置; 预分配 软质袋或袋组 [#27],无,无,未放置; 预分配 汽车 [c26fc37f],无,无
训练,scene-0502,41,41,未放置; 预分配 软质袋或袋组 [#20],无,无,未放置; 预分配 成年行人 [2d6ea8b1],无,无
训练,scene-0504,39,60,软质袋或袋组 [#19],0-9,10,摩托车 [cbd1e48f],28-38,29
训练,scene-0505,40,54,未放置; 预分配 平盖带轮垃圾桶 [#41],无,无,自行车 [03e3fc34],5; 13-18,3
训练,scene-0506,40,52,未放置; 预分配 两轮手扶搬运车 [#56],无,无,自行车 [298a6dc1],28-39,8.5
训练,scene-0507,41,41,未放置; 预分配 平盖带轮垃圾桶 [#39],无,无,未放置; 预分配 摩托车 [124b22a3],无,无
训练,scene-0508,41,68,罩顶垃圾桶 [#37],34-40,12,自行车 [8acb13a2],18; 20-23; 25-34,2
训练,scene-0509,40,52,街旁小型垃圾桶 [#45],10-17,6,未放置; 预分配 自行车 [49970654],无,无
训练,scene-0510,41,59,罩顶垃圾桶 [#38],0-16,29,未放置; 预分配 汽车 [90105d3d],无,无
训练,scene-0511,41,70,带脚轮金属工具箱 [#55],0-11,8,成年行人 [ce897aef],0-7,2.5
训练,scene-0512,40,40,未放置; 预分配 大型垃圾箱 [#31],无,无,未放置; 预分配 成年行人 [c1a2e44e],无,无
训练,scene-0513,40,40,未放置; 预分配 平盖带轮垃圾桶 [#40],无,无,未放置; 预分配 摩托车 [6b2f90e4],无,无
训练,scene-0514,40,95,开口塑料垃圾桶 [#53],0-22; 25-29; 31-36; 38-39,14,成年行人 [56c24f68],0-17,9
训练,scene-0515,41,41,未放置; 预分配 软质袋或袋组 [#26],无,无,未放置; 预分配 摩托车 [2e1665da],无,无
训练,scene-0517,40,49,软质袋或袋组 [#22],0-7,4,未放置; 预分配 摩托车 [e86f355a],无,无
训练,scene-0518,41,64,软质袋或袋组 [#20],0; 2-18; 23-25; 27,5.5,未放置; 预分配 自行车 [a76f1064],无,无
训练,scene-0525,40,74,料斗式搬运车 [#58],0; 9-14,4,自行车 [9bc3a973],0-15; 22,21
训练,scene-0526,41,41,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 成年行人 [6a4481fa],无,无
训练,scene-0527,41,46,软质袋或袋组 [#28],0,1,成年行人 [c4eaf6a7],0-3,4
训练,scene-0528,40,49,未放置; 预分配 软质袋或袋组 [#27],无,无,摩托车 [399b5e79],32-39,13
训练,scene-0529,41,45,软质袋或袋组 [#23],0-2,1,未放置; 预分配 成年行人 [afce5fc3],无,无
训练,scene-0530,41,41,未放置; 预分配 软质袋或袋组 [#21],无,无,未放置; 预分配 自行车 [372104b0],无,无
训练,scene-0531,41,44,开口塑料垃圾桶 [#54],38-40,26,未放置; 预分配 成年行人 [ae82ec5d],无,无
训练,scene-0532,40,79,未放置; 预分配 大型垃圾箱 [#32],无,无,汽车 [df89812f],1; 4-39,73
训练,scene-0533,40,44,未放置; 预分配 软质袋或袋组 [#25],无,无,成年行人 [45d2d6b1],0-2,11
训练,scene-0534,41,41,未放置; 预分配 软质袋或袋组 [#25],无,无,未放置; 预分配 汽车 [62fa061e],无,无
训练,scene-0535,41,41,未放置; 预分配 平盖带轮垃圾桶 [#39],无,无,未放置; 预分配 摩托车 [3ac2accd],无,无
训练,scene-0536,40,40,未放置; 预分配 软质袋或袋组 [#26],无,无,未放置; 预分配 摩托车 [31ddb639],无,无
训练,scene-0537,41,41,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 成年行人 [e8361fed],无,无
训练,scene-0538,41,41,未放置; 预分配 平盖带轮垃圾桶 [#41],无,无,未放置; 预分配 自行车 [a0816e8e],无,无
训练,scene-0539,41,41,未放置; 预分配 软质袋或袋组 [#27],无,无,未放置; 预分配 自行车 [8dfb1e75],无,无
训练,scene-0541,41,49,开口塑料垃圾桶 [#54],0-5,8,未放置; 预分配 自行车 [381c00d8],无,无
训练,scene-0542,40,72,开口塑料垃圾桶 [#53],0-7,26,自行车 [7026212e],0-4; 6-16,2
训练,scene-0543,40,40,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 成年行人 [1d2e4b98],无,无
训练,scene-0544,41,46,未放置; 预分配 大型垃圾箱 [#32],无,无,成年行人 [fe199544],0-3,4.5
训练,scene-0545,41,62,带脚轮金属工具箱 [#55],0-12,16,摩托车 [72d30e12],11-17,4
训练,scene-0546,41,81,料斗式搬运车 [#58],0-3; 6-36; 38-40,45,未放置; 预分配 自行车 [8f853bb1],无,无
训练,scene-0566,41,65,软质袋或袋组 [#21],0-4,9,摩托车 [ae5f16e3],0-6; 9-17,6.5
训练,scene-0568,41,49,软质袋或袋组 [#20],0-3; 5,21,未放置; 预分配 成年行人 [69123cbc],无,无
训练,scene-0570,40,60,罩顶垃圾桶 [#38],5-6; 10; 15-23,7,未放置; 预分配 汽车 [7bbbe624],无,无
训练,scene-0571,41,45,软质袋或袋组 [#28],0-1,1,自行车 [f712d795],0,4
训练,scene-0572,41,50,平盖带轮垃圾桶 [#40],36-40,56,自行车 [7a462347],0,3
训练,scene-0573,41,51,未放置; 预分配 大型垃圾箱 [#31],无,无,成年行人 [f57ce92f],0-9,5
训练,scene-0574,40,52,软质袋或袋组 [#22],0-4; 9-10,8,未放置; 预分配 汽车 [acbf49b3],无,无
训练,scene-0575,40,40,未放置; 预分配 街旁小型垃圾桶 [#45],无,无,未放置; 预分配 自行车 [5b4603ea],无,无
训练,scene-0576,40,50,罩顶垃圾桶 [#37],15; 17; 19; 38-39,2,未放置; 预分配 汽车 [48d25560],无,无
训练,scene-0577,41,47,软质袋或袋组 [#19],0-3,6.5,未放置; 预分配 成年行人 [c8ff5cb5],无,无
训练,scene-0578,41,61,软质袋或袋组 [#23],5; 8-9,5,自行车 [9a3b3c1e],0-6,1
训练,scene-0580,41,49,软质袋或袋组 [#23],0-5,5,摩托车 [d11226b6],0-1,133.5
训练,scene-0582,40,40,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 摩托车 [45cf3696],无,无
训练,scene-0583,41,41,未放置; 预分配 街旁小型垃圾桶 [#45],无,无,未放置; 预分配 摩托车 [c5d913c8],无,无
训练,scene-0584,40,40,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 汽车 [d3fdc84e],无,无
训练,scene-0585,41,59,平盖带轮垃圾桶 [#40],0-8; 11-13,8,未放置; 预分配 自行车 [3a291308],无,无
训练,scene-0586,41,52,未放置; 预分配 软质袋或袋组 [#27],无,无,摩托车 [7d803f98],0-3; 5,2
训练,scene-0587,41,82,软质袋或袋组 [#22],0-40,10,未放置; 预分配 汽车 [c5f26ddf],无,无
训练,scene-0588,40,54,软质袋或袋组 [#21],29-36,4.5,成年行人 [f81722a6],34; 36-39,6
训练,scene-0589,41,41,未放置; 预分配 软质袋或袋组 [#25],无,无,未放置; 预分配 汽车 [78d2bd23],无,无
训练,scene-0590,40,40,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 自行车 [c4dfa672],无,无
训练,scene-0591,41,41,未放置; 预分配 软质袋或袋组 [#19],无,无,未放置; 预分配 成年行人 [92b722d2],无,无
训练,scene-0592,41,50,罩顶垃圾桶 [#37],32-33; 36-37; 39-40,2.5,未放置; 预分配 摩托车 [1b7204a9],无,无
训练,scene-0593,40,79,开口塑料垃圾桶 [#54],0-20; 22-38,14,未放置; 预分配 摩托车 [746123a9],无,无
训练,scene-0594,40,43,软质袋或袋组 [#28],0-2,2,未放置; 预分配 成年行人 [013b83c5],无,无
训练,scene-0595,41,82,开口塑料垃圾桶 [#53],0-40,12,未放置; 预分配 摩托车 [6119abe8],无,无
训练,scene-0596,41,65,平盖带轮垃圾桶 [#39],0-1; 3; 7; 13; 23; 25; 38-40,1.5,未放置; 预分配 汽车 [379705eb],无,无
训练,scene-0597,40,47,未放置; 预分配 软质袋或袋组 [#26],无,无,自行车 [4c245ad7],0-1; 3-5,1
训练,scene-0598,41,51,带脚轮金属工具箱 [#55],4; 6-11,8,未放置; 预分配 自行车 [7a302084],无,无
训练,scene-0599,40,56,料斗式搬运车 [#58],0-3; 7-8,2,摩托车 [bce02974],29-36,30
训练,scene-0600,41,51,未放置; 预分配 大型垃圾箱 [#31],无,无,汽车 [1427ee2e],29-31; 34-38; 40,46
训练,scene-0639,40,40,未放置; 预分配 软质袋或袋组 [#20],无,无,未放置; 预分配 自行车 [9a3b3c1e],无,无
训练,scene-0640,40,40,未放置; 预分配 平盖带轮垃圾桶 [#41],无,无,未放置; 预分配 摩托车 [d11226b6],无,无
训练,scene-0641,40,40,未放置; 预分配 罩顶垃圾桶 [#38],无,无,未放置; 预分配 成年行人 [ce897aef],无,无
训练,scene-0642,41,41,未放置; 预分配 带脚轮金属工具箱 [#55],无,无,未放置; 预分配 汽车 [af2b3b77],无,无
训练,scene-0643,41,41,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 摩托车 [cf363ac2],无,无
训练,scene-0644,40,47,软质袋或袋组 [#28],0,1,自行车 [9bc3a973],0-4,4
训练,scene-0645,41,52,未放置; 预分配 软质袋或袋组 [#27],无,无,摩托车 [6f5c316c],0-4,13
训练,scene-0646,40,59,开口塑料垃圾桶 [#53],0-3,7,自行车 [7a462347],0-1; 8,1
训练,scene-0647,41,52,平盖带轮垃圾桶 [#41],16-24,32,未放置; 预分配 摩托车 [dd6f7436],无,无
训练,scene-0648,40,49,罩顶垃圾桶 [#38],0-5,5.5,未放置; 预分配 自行车 [5b4603ea],无,无
训练,scene-0649,41,41,未放置; 预分配 软质袋或袋组 [#20],无,无,未放置; 预分配 汽车 [94e80b2d],无,无
训练,scene-0650,40,40,未放置; 预分配 平盖带轮垃圾桶 [#39],无,无,未放置; 预分配 自行车 [e0b64e7e],无,无
训练,scene-0651,41,62,软质袋或袋组 [#21],6-14; 16-19; 21-24; 26-29,5,未放置; 预分配 汽车 [f9f45964],无,无
训练,scene-0652,41,82,未放置; 预分配 软质袋或袋组 [#25],无,无,摩托车 [4848fe7a],0-40,119
训练,scene-0653,41,50,街旁小型垃圾桶 [#45],0-3; 6-7,5,未放置; 预分配 成年行人 [bc67b906],无,无
训练,scene-0654,40,46,软质袋或袋组 [#19],0-5,4.5,未放置; 预分配 汽车 [0d8a3b7c],无,无
训练,scene-0655,41,41,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 汽车 [f1fab3b8],无,无
训练,scene-0656,40,47,未放置; 预分配 软质袋或袋组 [#26],无,无,摩托车 [9e70ff62],0-6,62
训练,scene-0657,41,72,开口塑料垃圾桶 [#54],0-25; 27; 29,15,未放置; 预分配 汽车 [fec7c670],无,无
训练,scene-0658,40,75,软质袋或袋组 [#22],0-28; 32-36; 38,11,未放置; 预分配 摩托车 [5de068e9],无,无
训练,scene-0659,40,47,罩顶垃圾桶 [#37],0-4,38,未放置; 预分配 摩托车 [e9bcfbaa],无,无
训练,scene-0660,40,46,未放置; 预分配 两轮手扶搬运车 [#56],无,无,汽车 [366abe40],0-5,28
训练,scene-0661,40,61,软质袋或袋组 [#23],0-2,3,成年行人 [92b722d2],0-3; 6; 10-12,2.5
训练,scene-0662,40,51,料斗式搬运车 [#58],0; 4,32,自行车 [92e4fcad],3-5; 10-12,2
训练,scene-0663,40,63,平盖带轮垃圾桶 [#40],25-39,5,未放置; 预分配 自行车 [7026212e],无,无
训练,scene-0664,41,72,软质袋或袋组 [#23],0-1,2.5,摩托车 [ae5f16e3],0-20; 25,1.5
训练,scene-0665,41,58,未放置; 预分配 大型垃圾箱 [#31],无,无,自行车 [99c9689d],0-13,3
训练,scene-0666,41,52,料斗式搬运车 [#58],0-4,10,成年行人 [a2c6d17f],0-2,3
训练,scene-0667,40,40,未放置; 预分配 软质袋或袋组 [#25],无,无,未放置; 预分配 汽车 [2f8c4101],无,无
训练,scene-0668,41,57,罩顶垃圾桶 [#37],0-1; 3,208,汽车 [961430cb],11-17,4
训练,scene-0669,41,52,平盖带轮垃圾桶 [#41],32-40,26,未放置; 预分配 摩托车 [72d30e12],无,无
训练,scene-0670,41,123,罩顶垃圾桶 [#38],0-40,93,摩托车 [8e7e45e8],0-40,34
训练,scene-0671,41,41,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 摩托车 [61c60295],无,无
训练,scene-0672,41,82,未放置; 预分配 大型垃圾箱 [#31],无,无,成年行人 [f57ce92f],0-40,96
训练,scene-0673,40,40,未放置; 预分配 软质袋或袋组 [#19],无,无,未放置; 预分配 汽车 [d9443ebd],无,无
训练,scene-0674,41,52,软质袋或袋组 [#21],0-7; 10,4,未放置; 预分配 汽车 [78d2bd23],无,无
训练,scene-0675,40,65,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,摩托车 [7d803f98],1-3; 5-23,5.5
