structure,frame,points,original_points,slots,range_m,world_copies,example_world,coarse_world_copies,coarse_example_world
206:10:94,68,2,2,72251;72252,39.10626983642578,91,train/branched_low_rough_6,27,train/branched_low_rough_6
206:10:97,68,4,4,73896;74926;74928;75960,48.22602081298828,91,train/branched_low_rough_6,27,train/branched_low_rough_6
206:10:104,68,2,2,72652;73684,42.22813415527344,91,train/branched_low_rough_6,27,train/branched_low_rough_6
206:10:106,68,2,2,79797;79798,27.240110397338867,91,train/branched_low_rough_6,27,train/branched_low_rough_6
206:15:5,68,1,1,75032,31.094552993774414,91,train/branched_low_rough_6,27,train/branched_low_rough_6
206:18:4,68,1,1,71231,44.272499084472656,91,train/branched_low_rough_6,27,train/branched_low_rough_6
206:10:68,69,1,1,73314,39.00999450683594,86,train/branched_low_rough_6,26,train/branched_low_rough_6
206:10:77,69,1,1,70202,49.72969436645508,86,train/branched_low_rough_6,26,train/branched_low_rough_6
206:10:94,69,3,3,72248;72249;72250,38.979270935058594,86,train/branched_low_rough_6,26,train/branched_low_rough_6
206:10:96,69,1,1,78001,40.12979507446289,86,train/branched_low_rough_6,26,train/branched_low_rough_6
206:10:98,69,1,1,75962,43.39330291748047,86,train/branched_low_rough_6,26,train/branched_low_rough_6
206:10:104,69,2,2,72649;73681,42.41912841796875,86,train/branched_low_rough_6,26,train/branched_low_rough_6
206:15:5,69,3,3,73997;75029;77096,31.04875373840332,86,train/branched_low_rough_6,26,train/branched_low_rough_6
206:18:4,69,3,3,71227;71228;72258,44.23649978637695,86,train/branched_low_rough_6,26,train/branched_low_rough_6
206:10:66,70,1,1,78394,28.340803146362305,86,train/branched_low_rough_6,25,train/branched_low_rough_6
206:10:68,70,1,1,73311,38.91199493408203,86,train/branched_low_rough_6,25,train/branched_low_rough_6
206:10:94,70,2,2,72245;72246,38.91926956176758,86,train/branched_low_rough_6,25,train/branched_low_rough_6
206:10:96,70,1,1,77997,39.755794525146484,86,train/branched_low_rough_6,25,train/branched_low_rough_6
206:10:97,70,3,3,73889;73891;74921,48.27774429321289,86,train/branched_low_rough_6,25,train/branched_low_rough_6
206:10:98,70,1,1,76993,43.798038482666016,86,train/branched_low_rough_6,25,train/branched_low_rough_6
206:10:104,70,2,2,72646;73678,42.516632080078125,86,train/branched_low_rough_6,25,train/branched_low_rough_6
206:10:106,70,2,2,80823;80824,27.520854949951172,86,train/branched_low_rough_6,25,train/branched_low_rough_6
206:15:5,70,1,1,75025,31.18155288696289,86,train/branched_low_rough_6,25,train/branched_low_rough_6
206:10:66,71,1,1,78391,28.267803192138672,91,train/branched_low_rough_5,25,train/branched_low_rough_6
206:10:77,71,1,1,70196,49.43769454956055,91,train/branched_low_rough_5,25,train/branched_low_rough_6
206:10:94,71,1,1,71209,39.09749984741211,91,train/branched_low_rough_5,25,train/branched_low_rough_6
206:10:97,71,2,2,73885;74918,48.35564422607422,91,train/branched_low_rough_5,25,train/branched_low_rough_6
206:10:104,71,2,2,73675;74675,42.667869567871094,91,train/branched_low_rough_5,25,train/branched_low_rough_6
206:10:106,71,3,3,80820;80821;80822,27.595354080200195,91,train/branched_low_rough_5,25,train/branched_low_rough_6
206:255:6,71,4,4,71841;72872;72873;73873,46.09587097167969,91,train/branched_low_rough_5,25,train/branched_low_rough_6
206:10:66,72,1,1,78387,28.112802505493164,93,train/branched_low_rough_5,27,train/branched_low_rough_6
206:10:77,72,1,1,70192,49.34869384765625,93,train/branched_low_rough_5,27,train/branched_low_rough_6
206:10:96,72,1,1,76988,42.00904083251953,93,train/branched_low_rough_5,27,train/branched_low_rough_6
206:10:97,72,1,1,73883,48.33574676513672,93,train/branched_low_rough_5,27,train/branched_low_rough_6
206:10:98,72,2,2,73889;74919,43.15715026855469,93,train/branched_low_rough_5,27,train/branched_low_rough_6
206:10:104,72,1,1,74672,42.75074768066406,93,train/branched_low_rough_5,27,train/branched_low_rough_6
206:10:67,73,1,1,76359,32.551307678222656,89,train/branched_low_rough_5,24,train/branched_low_rough_6
206:10:68,73,1,1,73301,38.49199295043945,89,train/branched_low_rough_5,24,train/branched_low_rough_6
206:10:77,73,1,1,70188,49.18269348144531,89,train/branched_low_rough_5,24,train/branched_low_rough_6
206:10:94,73,2,2,71201;72236,38.65888595581055,89,train/branched_low_rough_5,24,train/branched_low_rough_6
206:10:97,73,1,1,73878,48.44074249267578,89,train/branched_low_rough_5,24,train/branched_low_rough_6
206:10:98,73,1,1,73885,43.00474548339844,89,train/branched_low_rough_5,24,train/branched_low_rough_6
206:10:104,73,2,2,73668;74668,42.897369384765625,89,train/branched_low_rough_5,24,train/branched_low_rough_6
206:10:106,73,3,3,80814;80815;80816,27.83735466003418,89,train/branched_low_rough_5,24,train/branched_low_rough_6
206:15:7,73,3,3,77081;77082;77083,29.46504783630371,89,train/branched_low_rough_5,24,train/branched_low_rough_6
206:10:66,74,1,1,78380,27.766803741455078,93,train/branched_low_rough_6,27,train/branched_low_rough_6
206:10:68,74,1,1,73298,38.363990783691406,93,train/branched_low_rough_6,27,train/branched_low_rough_6
206:10:77,74,1,1,70185,49.063697814941406,93,train/branched_low_rough_6,27,train/branched_low_rough_6
206:10:94,74,1,1,71198,38.614501953125,93,train/branched_low_rough_6,27,train/branched_low_rough_6
206:10:96,74,2,2,75953;75954,37.567806243896484,93,train/branched_low_rough_6,27,train/branched_low_rough_6
206:10:97,74,2,2,73873;73875,48.69074249267578,93,train/branched_low_rough_6,27,train/branched_low_rough_6
206:10:98,74,2,2,73880;74913,42.992645263671875,93,train/branched_low_rough_6,27,train/branched_low_rough_6
206:10:104,74,2,2,73665;74665,42.993370056152344,93,train/branched_low_rough_6,27,train/branched_low_rough_6
206:10:106,74,3,3,80811;80812;80813,27.9333553314209,93,train/branched_low_rough_6,27,train/branched_low_rough_6
206:10:77,75,1,1,70182,48.873695373535156,93,train/branched_low_rough_6,26,train/branched_low_rough_6
206:10:94,75,3,3,71194;71196;71199,38.28050231933594,93,train/branched_low_rough_6,26,train/branched_low_rough_6
206:10:97,75,1,1,73871,48.71074295043945,93,train/branched_low_rough_6,26,train/branched_low_rough_6
206:10:98,75,1,1,74909,42.960548400878906,93,train/branched_low_rough_6,26,train/branched_low_rough_6
206:10:106,75,2,2,80808;80809,28.088855743408203,93,train/branched_low_rough_6,26,train/branched_low_rough_6
206:15:6,75,4,4,77068;78068;78069;79100,28.640426635742188,93,train/branched_low_rough_6,26,train/branched_low_rough_6
206:255:6,75,3,3,71823;73855;73856,49.313743591308594,93,train/branched_low_rough_6,26,train/branched_low_rough_6
206:10:66,76,1,1,78373,27.478803634643555,88,train/branched_low_rough_5,23,train/branched_low_rough_6
206:10:97,76,2,2,73864;73866,48.9382438659668,88,train/branched_low_rough_5,23,train/branched_low_rough_6
206:10:104,76,1,1,74658,43.27074432373047,88,train/branched_low_rough_5,23,train/branched_low_rough_6
206:10:106,76,3,3,80804;80805;80806,28.220354080200195,88,train/branched_low_rough_5,23,train/branched_low_rough_6
206:10:66,77,1,1,79401,27.365610122680664,93,train/branched_low_rough_6,26,train/branched_low_rough_6
206:10:94,77,2,2,72220;72221,37.823272705078125,93,train/branched_low_rough_6,26,train/branched_low_rough_6
206:10:97,77,2,2,73862;74892,49.0726432800293,93,train/branched_low_rough_6,26,train/branched_low_rough_6
206:10:104,77,2,2,72622;73654,43.42462921142578,93,train/branched_low_rough_6,26,train/branched_low_rough_6
206:10:106,77,2,2,80801;80802,28.333354949951172,93,train/branched_low_rough_6,26,train/branched_low_rough_6
206:254:7,77,3,3,85119;86119;86120,22.14889907836914,93,train/branched_low_rough_6,26,train/branched_low_rough_6
206:10:66,78,2,2,78366;79398,27.283206939697266,95,train/branched_low_rough_6,27,train/branched_low_rough_6
206:10:77,78,1,1,71202,48.41449737548828,95,train/branched_low_rough_6,27,train/branched_low_rough_6
206:10:97,78,1,1,73858,49.02074432373047,95,train/branched_low_rough_6,27,train/branched_low_rough_6
206:10:104,78,1,1,73651,43.59199142456055,95,train/branched_low_rough_6,27,train/branched_low_rough_6
206:10:106,78,2,2,79766;79767,28.469608306884766,95,train/branched_low_rough_6,27,train/branched_low_rough_6
206:10:94,79,1,1,72213,37.48227310180664,91,train/branched_low_rough_6,24,train/branched_low_rough_6
206:10:97,79,1,1,73852,49.33274459838867,91,train/branched_low_rough_6,24,train/branched_low_rough_6
206:10:104,79,2,2,71583;72615,43.69638442993164,91,train/branched_low_rough_6,24,train/branched_low_rough_6
206:10:106,79,4,4,79762;79763;79764;79765,28.613609313964844,91,train/branched_low_rough_6,24,train/branched_low_rough_6
206:10:94,80,3,3,71180;72209;72210,37.260501861572266,93,train/branched_low_rough_5,25,train/branched_low_rough_6
206:10:97,80,3,3,74879;74881;75911,49.50654983520508,93,train/branched_low_rough_5,25,train/branched_low_rough_6
206:10:104,80,1,1,71580,43.871498107910156,93,train/branched_low_rough_5,25,train/branched_low_rough_6
206:10:106,80,2,2,78728;78729,28.717803955078125,93,train/branched_low_rough_5,25,train/branched_low_rough_6
206:10:77,81,1,1,70159,47.79669189453125,88,train/branched_low_rough_6,24,train/branched_low_rough_6
206:10:94,81,1,1,71176,36.98750686645508,88,train/branched_low_rough_6,24,train/branched_low_rough_6
206:10:97,81,1,1,74876,49.616546630859375,88,train/branched_low_rough_6,24,train/branched_low_rough_6
206:10:106,81,2,2,79757;79758,28.900108337402344,88,train/branched_low_rough_6,24,train/branched_low_rough_6
206:254:7,81,3,3,81010;82010;83042,22.924654006958008,88,train/branched_low_rough_6,24,train/branched_low_rough_6
206:10:94,82,3,3,71170;71172;71173,36.805503845214844,93,train/branched_low_rough_5,25,train/branched_low_rough_6
206:10:96,82,1,1,77951,38.44779586791992,93,train/branched_low_rough_5,25,train/branched_low_rough_6
206:10:106,82,1,1,80786,29.041353225708008,93,train/branched_low_rough_5,25,train/branched_low_rough_6
206:10:104,83,1,1,74634,44.295745849609375,92,train/branched_low_rough_5,25,train/branched_low_rough_6
206:10:67,84,1,1,74255,30.81175422668457,96,train/branched_low_rough_5,27,train/branched_low_rough_6
206:10:77,84,1,1,69148,47.18393325805664,96,train/branched_low_rough_5,27,train/branched_low_rough_6
206:10:94,84,3,3,70128;71162;71163,36.55650329589844,96,train/branched_low_rough_5,27,train/branched_low_rough_6
206:10:96,84,1,1,76942,38.74504470825195,96,train/branched_low_rough_5,27,train/branched_low_rough_6
206:10:104,84,1,1,74631,44.45174789428711,96,train/branched_low_rough_5,27,train/branched_low_rough_6
206:10:106,84,2,2,81812;81813,29.32659149169922,96,train/branched_low_rough_5,27,train/branched_low_rough_6
206:10:94,85,4,4,70126;70127;70129;70130,36.227699279785156,92,train/branched_low_rough_5,25,train/branched_low_rough_6
206:10:104,85,1,1,74628,44.63174819946289,92,train/branched_low_rough_5,25,train/branched_low_rough_6
206:10:106,85,1,1,81810,29.48809242248535,92,train/branched_low_rough_5,25,train/branched_low_rough_6
206:10:77,86,1,1,68109,46.78821563720703,93,train/branched_low_rough_5,26,train/branched_low_rough_6
206:10:91,86,2,2,73935;77028,33.68939971923828,93,train/branched_low_rough_5,26,train/branched_low_rough_6
206:10:92,86,2,2,67816;73948,37.23548126220703,93,train/branched_low_rough_5,26,train/branched_low_rough_6
206:10:96,86,1,1,77935,39.05979537963867,93,train/branched_low_rough_5,26,train/branched_low_rough_6
206:10:104,86,2,2,75657;76689,44.73792266845703,93,train/branched_low_rough_5,26,train/branched_low_rough_6
206:10:106,86,2,2,82807;82808,29.60984230041504,93,train/branched_low_rough_5,26,train/branched_low_rough_6
206:254:9,86,1,1,70118,35.47469711303711,93,train/branched_low_rough_5,26,train/branched_low_rough_6
206:10:66,87,2,2,76301;78333,25.427560806274414,89,train/branched_low_rough_2,25,train/branched_low_rough_6
206:10:77,87,1,1,67074,46.62443542480469,89,train/branched_low_rough_2,25,train/branched_low_rough_6
206:10:92,87,2,2,71911;71912,36.96277618408203,89,train/branched_low_rough_2,25,train/branched_low_rough_6
206:10:94,87,4,4,68085;68087;68088;68090,35.87322235107422,89,train/branched_low_rough_2,25,train/branched_low_rough_6
206:10:95,87,2,2,76937;78969,34.61082458496094,89,train/branched_low_rough_2,25,train/branched_low_rough_6
206:10:104,87,1,1,78718,45.01979446411133,89,train/branched_low_rough_2,25,train/branched_low_rough_6
206:10:106,87,1,1,84869,29.840394973754883,89,train/branched_low_rough_2,25,train/branched_low_rough_6
206:10:66,88,1,1,75266,25.161561965942383,92,train/branched_low_rough_2,27,train/branched_low_rough_6
206:10:77,88,1,1,66038,46.30563735961914,92,train/branched_low_rough_2,27,train/branched_low_rough_6
206:10:94,88,4,4,67050;67052;67054;67055,35.535438537597656,92,train/branched_low_rough_2,27,train/branched_low_rough_6
206:10:106,88,1,1,86899,29.943889617919922,92,train/branched_low_rough_2,27,train/branched_low_rough_6
206:10:114,88,1,1,84072,27.73839569091797,92,train/branched_low_rough_2,27,train/branched_low_rough_6
206:15:5,88,2,2,73916;73917,31.32275390625,92,train/branched_low_rough_2,27,train/branched_low_rough_6
206:10:92,89,1,1,67806,37.159217834472656,92,train/branched_low_rough_2,26,train/branched_low_rough_6
206:10:94,89,4,4,65014;66014;66016;66019,35.69214630126953,92,train/branched_low_rough_2,26,train/branched_low_rough_6
206:10:114,89,1,1,83037,27.97664451599121,92,train/branched_low_rough_2,26,train/branched_low_rough_6
206:15:7,89,1,1,74942,29.990554809570312,92,train/branched_low_rough_2,26,train/branched_low_rough_6
206:254:9,89,3,3,65011;65012;67043,34.42043685913086,92,train/branched_low_rough_2,26,train/branched_low_rough_6
206:10:77,90,1,1,65032,45.883872985839844,96,train/branched_low_rough_2,27,train/branched_low_rough_6
206:10:91,90,1,1,71885,33.47426986694336,96,train/branched_low_rough_2,27,train/branched_low_rough_6
206:10:92,90,3,3,66772;66773;67799,37.61844253540039,96,train/branched_low_rough_2,27,train/branched_low_rough_6
206:10:94,90,4,4,66011;66013;66014;66016,35.20165252685547,96,train/branched_low_rough_2,27,train/branched_low_rough_6
206:10:95,90,4,4,76931;77930;77931;78962,35.094200134277344,96,train/branched_low_rough_2,27,train/branched_low_rough_6
206:10:114,90,4,4,83030;84064;84065;85093,28.126262664794922,96,train/branched_low_rough_2,27,train/branched_low_rough_6
206:15:5,90,2,2,73912;74944,31.566152572631836,96,train/branched_low_rough_2,27,train/branched_low_rough_6
206:254:9,90,3,3,61912;62944;67040,34.07238006591797,96,train/branched_low_rough_2,27,train/branched_low_rough_6
206:10:91,91,2,2,73912;75980,33.799530029296875,95,train/branched_low_rough_2,26,train/branched_low_rough_6
206:10:92,91,3,3,65734;70863;71894,37.3025016784668,95,train/branched_low_rough_2,26,train/branched_low_rough_6
206:10:94,91,2,2,66010;66011,34.96965026855469,95,train/branched_low_rough_2,26,train/branched_low_rough_6
206:10:104,91,1,1,78708,45.57779312133789,95,train/branched_low_rough_2,26,train/branched_low_rough_6
206:10:106,91,3,3,85892;85893;85894,30.428123474121094,95,train/branched_low_rough_2,26,train/branched_low_rough_6
206:10:114,91,2,2,85097;86093,28.560009002685547,95,train/branched_low_rough_2,26,train/branched_low_rough_6
206:15:7,91,3,3,75966;75967;76999,30.373050689697266,95,train/branched_low_rough_2,26,train/branched_low_rough_6
206:254:9,91,2,2,61909;62941,33.70697784423828,95,train/branched_low_rough_2,26,train/branched_low_rough_6
206:10:77,92,1,1,65025,45.4628791809082,95,train/branched_low_rough_2,28,train/branched_low_rough_6
206:10:91,92,1,1,75975,33.605308532714844,95,train/branched_low_rough_2,28,train/branched_low_rough_6
206:10:92,92,1,1,67791,38.10621643066406,95,train/branched_low_rough_2,28,train/branched_low_rough_6
206:10:94,92,2,2,66004;67039,34.957550048828125,95,train/branched_low_rough_2,28,train/branched_low_rough_6
206:10:95,92,4,4,79984;79988;81016;81020,35.48522186279297,95,train/branched_low_rough_2,28,train/branched_low_rough_6
206:10:106,92,3,3,84858;84859;84860,30.430395126342773,95,train/branched_low_rough_2,28,train/branched_low_rough_6
206:10:114,92,4,4,86090;86091;86094;87119,28.66489028930664,95,train/branched_low_rough_2,28,train/branched_low_rough_6
206:15:5,92,2,2,77993;77997,31.930301666259766,95,train/branched_low_rough_2,28,train/branched_low_rough_6
206:254:9,92,4,4,62938;63970;66002;69096,33.37926483154297,95,train/branched_low_rough_2,28,train/branched_low_rough_6
206:10:94,93,3,3,67035;67036;67037,34.51544189453125,97,train/branched_low_rough_2,27,train/branched_low_rough_6
206:10:114,93,3,3,86086;86087;86090,28.852890014648438,97,train/branched_low_rough_2,27,train/branched_low_rough_6
206:15:6,93,3,3,79017;79018;81082,29.830608367919922,97,train/branched_low_rough_2,27,train/branched_low_rough_6
206:15:7,93,2,2,77990;77991,30.531803131103516,97,train/branched_low_rough_2,27,train/branched_low_rough_6
206:10:66,94,1,1,76280,23.85831642150879,93,train/branched_low_rough_2,28,train/branched_low_rough_6
206:10:91,94,4,4,73899;75967;75968;75974,34.11802673339844,93,train/branched_low_rough_2,28,train/branched_low_rough_6
206:10:94,94,1,1,65998,35.08464813232422,93,train/branched_low_rough_2,28,train/branched_low_rough_6
206:10:106,94,4,4,84854;84855;84856;84857,30.891895294189453,93,train/branched_low_rough_2,28,train/branched_low_rough_6
206:10:114,94,1,1,86083,29.058889389038086,93,train/branched_low_rough_2,28,train/branched_low_rough_6
206:15:5,94,2,2,76990;77993,32.08642578125,93,train/branched_low_rough_2,28,train/branched_low_rough_6
206:15:6,94,2,2,77979;77981,30.09130096435547,93,train/branched_low_rough_2,28,train/branched_low_rough_6
206:15:7,94,2,2,76984;77980,31.24442481994629,93,train/branched_low_rough_2,28,train/branched_low_rough_6
206:18:4,94,2,2,66013;66014,39.39664840698242,93,train/branched_low_rough_2,28,train/branched_low_rough_6
206:254:9,94,4,4,62931;63963;65995;69090,32.81326675415039,93,train/branched_low_rough_2,28,train/branched_low_rough_6
206:254:7,94,1,13,81964,26.8348445892334,1,train/sheet_raised_rough_7,0,
206:10:94,95,2,2,67027;67030,34.27444076538086,91,train/branched_low_rough_2,26,train/branched_low_rough_6
206:10:106,95,1,1,84853,30.915393829345703,91,train/branched_low_rough_2,26,train/branched_low_rough_6
206:10:114,95,4,4,85080;85083;85084;86077,29.37262725830078,91,train/branched_low_rough_2,26,train/branched_low_rough_6
206:15:7,95,4,4,76983;77982;77983;77984,30.74992561340332,91,train/branched_low_rough_2,26,train/branched_low_rough_6
206:18:4,95,1,1,67042,39.31343460083008,91,train/branched_low_rough_2,26,train/branched_low_rough_6
206:254:7,95,2,15,80961;81961,27.093467712402344,1,train/sheet_raised_rough_7,0,
206:10:66,96,1,1,76274,23.34331703186035,94,train/branched_low_rough_2,27,train/branched_low_rough_6
206:10:94,96,1,1,67025,34.283443450927734,94,train/branched_low_rough_2,27,train/branched_low_rough_6
206:10:106,96,1,1,84852,31.09439468383789,94,train/branched_low_rough_2,27,train/branched_low_rough_6
206:10:114,96,3,3,85077;85078;85080,29.500125885009766,94,train/branched_low_rough_2,27,train/branched_low_rough_6
206:15:6,96,2,2,77975;79008,30.22870445251465,94,train/branched_low_rough_2,27,train/branched_low_rough_6
206:18:4,96,1,1,66008,38.888641357421875,94,train/branched_low_rough_2,27,train/branched_low_rough_6
206:254:9,96,4,4,63957;64989;67021;70085,32.128570556640625,94,train/branched_low_rough_2,27,train/branched_low_rough_6
206:254:7,96,1,17,80958,27.530092239379883,1,train/sheet_raised_rough_7,0,
206:10:66,97,2,2,76271;78303,23.05706024169922,92,train/branched_low_rough_2,28,train/branched_low_rough_6
206:10:91,97,4,4,73895;75957;75958;76990,34.308677673339844,92,train/branched_low_rough_2,28,train/branched_low_rough_6
206:10:94,97,2,2,65990;67022,34.02354431152344,92,train/branched_low_rough_2,28,train/branched_low_rough_6
206:10:106,97,1,1,84851,31.238393783569336,92,train/branched_low_rough_2,28,train/branched_low_rough_6
206:10:114,97,2,2,85074;86071,29.63550567626953,92,train/branched_low_rough_2,28,train/branched_low_rough_6
206:18:4,97,2,2,66005;67035,38.797542572021484,92,train/branched_low_rough_2,28,train/branched_low_rough_6
206:10:66,98,3,3,75236;77300;79332,22.907615661621094,90,train/branched_low_rough_2,29,train/branched_low_rough_6
206:10:114,98,3,3,84038;84039;85067,29.893125534057617,90,train/branched_low_rough_2,29,train/branched_low_rough_6
206:18:4,98,1,1,67035,38.4614372253418,90,train/branched_low_rough_2,29,train/branched_low_rough_6
206:254:8,98,2,2,63955;64987,33.47002029418945,90,train/branched_low_rough_2,29,train/branched_low_rough_6
206:10:92,99,4,4,63671;66735;67767;69802,38.47032928466797,89,train/branched_low_rough_2,28,train/branched_low_rough_6
206:10:106,99,1,1,85880,31.53212547302246,89,train/branched_low_rough_2,28,train/branched_low_rough_6
206:10:114,99,1,1,81971,30.1058406829834,89,train/branched_low_rough_2,28,train/branched_low_rough_6
206:15:5,99,4,4,71843;72875;73876;73879,32.6978759765625,89,train/branched_low_rough_2,28,train/branched_low_rough_6
206:18:4,99,1,1,69093,38.526939392089844,89,train/branched_low_rough_2,28,train/branched_low_rough_6
206:254:8,99,3,3,65983;67015;68047,33.24143981933594,89,train/branched_low_rough_2,28,train/branched_low_rough_6
206:254:7,99,1,16,78888,28.56560707092285,1,train/sheet_raised_rough_7,0,
206:10:76,100,1,1,66010,49.15664291381836,89,train/branched_low_rough_2,29,train/branched_low_rough_6
206:10:77,100,1,1,68068,43.523216247558594,89,train/branched_low_rough_2,29,train/branched_low_rough_6
206:10:92,100,4,4,64701;67766;67767;68799,38.226043701171875,89,train/branched_low_rough_2,29,train/branched_low_rough_6
206:10:114,100,1,1,79940,30.661352157592773,89,train/branched_low_rough_2,29,train/branched_low_rough_6
206:15:5,100,3,3,71836;71839;71840,32.878273010253906,89,train/branched_low_rough_2,29,train/branched_low_rough_6
206:254:7,100,1,15,77853,28.931804656982422,1,train/sheet_raised_rough_7,0,
206:10:76,101,1,1,66008,48.8426399230957,93,train/branched_low_rough_2,30,train/branched_low_rough_6
206:15:7,101,1,1,71832,31.98127555847168,93,train/branched_low_rough_2,30,train/branched_low_rough_6
206:18:4,101,4,4,67024;67025;69088;69089,37.94468688964844,93,train/branched_low_rough_2,30,train/branched_low_rough_6
206:254:8,101,2,2,64979;65979,32.39426803588867,93,train/branched_low_rough_2,30,train/branched_low_rough_6
206:254:9,101,4,4,65975;67005;67007;72135,30.735549926757812,93,train/branched_low_rough_2,30,train/branched_low_rough_6
206:254:7,101,2,13,76850;78883,29.242328643798828,1,train/sheet_raised_rough_7,0,
206:10:66,102,2,2,78290;81385,21.834457397460938,89,train/branched_low_rough_2,31,train/branched_low_rough_6
206:10:91,102,4,4,69782;69789;70814;70815,35.536598205566406,89,train/branched_low_rough_2,31,train/branched_low_rough_6
206:15:5,102,3,3,70800;70801;72864,33.28550338745117,89,train/branched_low_rough_2,31,train/branched_low_rough_6
206:15:7,102,1,1,71831,31.916276931762695,89,train/branched_low_rough_2,31,train/branched_low_rough_6
206:18:4,102,3,3,63962;67021;69086,37.684940338134766,89,train/branched_low_rough_2,31,train/branched_low_rough_6
206:254:7,102,4,15,76847;77848;78881;79913,29.664207458496094,1,train/sheet_raised_rough_7,0,
206:10:66,103,1,1,78288,21.566810607910156,86,train/branched_low_rough_2,30,train/branched_low_rough_6
206:10:76,103,4,4,61905;61906;61907;61908,49.87406921386719,86,train/branched_low_rough_2,30,train/branched_low_rough_6
206:10:77,103,1,1,67029,42.64243698120117,86,train/branched_low_rough_2,30,train/branched_low_rough_6
206:10:99,103,4,4,80781;80782;81813;81814,36.517215728759766,86,train/branched_low_rough_2,30,train/branched_low_rough_6
206:18:4,103,1,1,67021,37.25044250488281,86,train/branched_low_rough_2,30,train/branched_low_rough_6
206:254:9,103,2,2,65968;65970,29.97915267944336,86,train/branched_low_rough_2,30,train/branched_low_rough_6
206:254:7,103,4,13,76845;77845;78878;79910,30.095426559448242,1,train/sheet_raised_rough_7,0,
206:10:66,104,2,2,78285;78286,21.216312408447266,86,train/branched_low_rough_2,30,train/branched_low_rough_6
206:10:76,104,1,1,61903,49.81356430053711,86,train/branched_low_rough_2,30,train/branched_low_rough_6
206:10:95,104,4,4,76884;76889;77888;77889,38.101417541503906,86,train/branched_low_rough_2,30,train/branched_low_rough_6
206:10:114,104,2,2,81960;82988,31.473743438720703,86,train/branched_low_rough_2,30,train/branched_low_rough_6
206:11:1,104,1,1,63952,46.852149963378906,86,train/branched_low_rough_2,30,train/branched_low_rough_6
206:15:5,104,2,2,75920;75928,33.87830352783203,86,train/branched_low_rough_2,30,train/branched_low_rough_6
206:18:4,104,2,2,62924;68049,37.8782958984375,86,train/branched_low_rough_2,30,train/branched_low_rough_6
206:254:9,104,3,3,63935;64967;65967,29.699888229370117,86,train/branched_low_rough_2,30,train/branched_low_rough_6
206:254:7,104,3,13,77843;78876;79908,30.44835090637207,1,train/sheet_raised_rough_7,0,
206:10:66,105,1,1,78284,20.959814071655273,91,train/branched_low_rough_2,31,train/branched_low_rough_6
206:10:95,105,3,3,76885;77884;78916,38.27660369873047,91,train/branched_low_rough_2,31,train/branched_low_rough_6
206:15:5,105,2,2,74892;75922,33.74892807006836,91,train/branched_low_rough_2,31,train/branched_low_rough_6
206:15:7,105,2,2,74887;76951,32.41929626464844,91,train/branched_low_rough_2,31,train/branched_low_rough_6
206:18:6,105,1,1,74637,37.33274841308594,91,train/branched_low_rough_2,31,train/branched_low_rough_6
206:254:6,105,1,1,52133,39.50389099121094,91,train/branched_low_rough_2,31,train/branched_low_rough_6
206:254:7,105,4,12,78874;79906;79907;80939,30.907480239868164,1,train/sheet_raised_rough_7,0,
206:10:66,106,3,3,76251;79314;81378,20.65410041809082,87,train/branched_low_rough_2,31,train/branched_low_rough_6
206:10:94,106,1,1,71101,31.90550422668457,87,train/branched_low_rough_2,31,train/branched_low_rough_6
206:10:95,106,3,3,77886;78915;78916,38.503604888916016,87,train/branched_low_rough_2,31,train/branched_low_rough_6
206:15:7,106,2,2,76950;77950,32.56642532348633,87,train/branched_low_rough_2,31,train/branched_low_rough_6
206:18:4,106,3,3,62920;63952;68047,38.091373443603516,87,train/branched_low_rough_2,31,train/branched_low_rough_6
206:254:7,106,2,11,79905;80938,31.303722381591797,1,train/sheet_raised_rough_7,0,
206:10:66,107,3,3,75216;75217;79313,20.88956642150879,86,train/branched_low_rough_2,31,train/branched_low_rough_6
206:10:94,107,3,3,68037;70069;71099,30.87322235107422,86,train/branched_low_rough_2,31,train/branched_low_rough_6
206:10:95,107,3,3,77882;78914;78915,38.83760070800781,86,train/branched_low_rough_2,31,train/branched_low_rough_6
206:11:1,107,1,1,63949,46.22014617919922,86,train/branched_low_rough_2,31,train/branched_low_rough_6
206:15:7,107,3,3,75916;76948;77948,32.839046478271484,86,train/branched_low_rough_2,31,train/branched_low_rough_6
206:254:7,107,2,10,79904;80936,31.753719329833984,1,train/sheet_raised_rough_7,0,
206:10:94,108,1,1,68037,30.586223602294922,84,train/branched_low_rough_2,29,train/branched_low_rough_6
206:10:95,108,4,4,77879;77880;78911;78914,39.181697845458984,84,train/branched_low_rough_2,29,train/branched_low_rough_6
206:15:6,108,4,4,76938;76939;77939;77940,32.79042053222656,84,train/branched_low_rough_2,29,train/branched_low_rough_6
206:15:7,108,4,4,75911;75912;76943;76944,33.43580627441406,84,train/branched_low_rough_2,29,train/branched_low_rough_6
206:30:20,108,2,2,86052;90149,17.03192138671875,84,train/branched_low_rough_2,29,train/branched_low_rough_6
206:254:8,108,3,3,70065;71097;72129,30.021507263183594,84,train/branched_low_rough_2,29,train/branched_low_rough_6
206:254:7,108,4,11,79903;80936;81936;82968,32.228599548339844,1,train/sheet_raised_rough_7,0,
206:10:66,109,4,4,70085;71117;71118;82374,21.149517059326172,83,train/branched_low_rough_2,30,train/branched_low_rough_6
