联合条件,分组编码,帧数,全距离异常点数,范围内异常点数,序列数,正实例标识数,序列标识,序列与实例标识,覆盖状态
点数×距离×平移,3|0|2,65,3919,3919,8,13,"125,141,143,144,145,146,148,151","125:1,141:4,141:5,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,148:2,151:1",有覆盖
点数×距离×平移,3|0|3,255,13002,13002,17,27,"125,137,138,139,140,141,142,143,144,146,147,148,149,150,151,152,153","125:1,137:3,138:4,138:5,139:7,140:1,141:4,141:5,142:2,142:3,143:3,144:2,144:3,144:4,144:5,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551",有覆盖
点数×距离×平移,3|0|4,27,1515,1515,4,5,"138,139,140,169","138:4,138:5,139:7,140:1,169:1",有覆盖
点数×距离×平移,3|1|0,28,678,678,1,1,125,125:1,有覆盖
点数×距离×平移,3|1|1,18,447,447,1,1,125,125:1,有覆盖
点数×距离×平移,3|1|2,41,1773,1773,2,3,"125,145","125:1,145:1,145:2",有覆盖
点数×距离×平移,3|1|3,183,6658,6658,13,23,"125,138,139,141,143,144,145,146,147,148,149,150,153","125:1,138:4,138:5,139:7,141:4,141:5,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,153:30550,153:30551",有覆盖
点数×距离×平移,3|1|4,33,990,990,4,7,"138,139,150,169","138:4,138:5,139:7,150:2,150:3,150:4,169:1",有覆盖
点数×距离×平移,3|2|0,20,409,409,1,2,141,"141:4,141:5",有覆盖
点数×距离×平移,3|2|1,6,122,122,1,2,141,"141:4,141:5",有覆盖
点数×距离×平移,3|2|2,3,66,66,1,2,141,"141:4,141:5",有覆盖
点数×距离×平移,3|2|3,26,664,664,1,2,141,"141:4,141:5",有覆盖
点数×距离×平移,4|0|0,35,6677,6677,2,5,"125,144","125:1,144:2,144:3,144:4,144:5",有覆盖
点数×距离×平移,4|0|1,56,12022,12022,4,9,"125,144,145,153","125:1,144:2,144:3,144:4,144:5,145:1,145:2,153:30550,153:30551",有覆盖
点数×距离×平移,4|0|2,83,15153,15153,6,12,"125,141,143,144,145,153","125:1,141:4,141:5,143:3,144:2,144:3,144:4,144:5,145:1,145:2,153:30550,153:30551",有覆盖
点数×距离×平移,4|0|3,63,10653,10653,10,16,"125,138,139,141,142,143,147,148,149,150","125:1,138:4,138:5,139:7,141:4,141:5,142:2,142:3,143:3,147:2,148:2,149:2,149:3,150:2,150:3,150:4",有覆盖
点数×距离×平移,4|0|4,10,1371,1371,2,2,"139,169","139:7,169:1",有覆盖
点数×距离×平移,4|1|3,5,616,616,1,2,141,"141:4,141:5",有覆盖
合格点数×距离,0|0,56,749,749,11,12,"125,137,140,141,142,143,147,149,150,151,152","125:1,137:3,140:1,141:5,142:2,142:3,143:3,147:2,149:3,150:4,151:1,152:1",有覆盖
合格点数×距离,0|1,455,5055,5055,18,28,"125,137,138,139,140,142,143,144,145,146,147,148,149,150,151,152,153,169","125:1,137:3,138:4,138:5,139:7,140:1,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
合格点数×距离,0|2,410,3544,3544,16,27,"138,139,140,141,142,143,144,145,146,147,148,149,150,151,153,169","138:4,138:5,139:7,140:1,141:4,141:5,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,153:30550,153:30551,169:1",有覆盖
合格点数×距离,0|3,54,357,357,4,8,"141,150,153,169","141:4,141:5,150:2,150:3,150:4,153:30550,153:30551,169:1",有覆盖
合格点数×距离,1|0,371,19394,19394,19,30,"125,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169","125:1,137:3,138:4,138:5,139:7,140:1,141:4,141:5,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
合格点数×距离,1|1,303,10546,10546,14,24,"125,138,139,141,143,144,145,146,147,148,149,150,153,169","125:1,138:4,138:5,139:7,141:4,141:5,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,153:30550,153:30551,169:1",有覆盖
合格点数×距离,1|2,55,1261,1261,1,2,141,"141:4,141:5",有覆盖
合格点数×距离,1|3,0,0,0,0,0,,,无覆盖
合格点数×距离,2|0,247,45876,45876,14,25,"125,138,139,141,142,143,144,145,147,148,149,150,153,169","125:1,138:4,138:5,139:7,141:4,141:5,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,153:30550,153:30551,169:1",有覆盖
合格点数×距离,2|1,5,616,616,1,2,141,"141:4,141:5",有覆盖
合格点数×距离,2|2,0,0,0,0,0,,,无覆盖
合格点数×距离,2|3,0,0,0,0,0,,,无覆盖
合格点数×距离,3|0,0,0,0,0,0,,,无覆盖
合格点数×距离,3|1,0,0,0,0,0,,,无覆盖
合格点数×距离,3|2,0,0,0,0,0,,,无覆盖
合格点数×距离,3|3,0,0,0,0,0,,,无覆盖
阶段×全距离点数,gap|0,1179,0,0,19,0,"125,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169",,有覆盖
阶段×全距离点数,prefix|0,2802,0,0,18,0,"137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169",,有覆盖
阶段×全距离点数,tail|0,1133,0,0,12,0,"137,138,139,140,141,142,143,148,149,150,152,169",,有覆盖
阶段×全距离点数,visible|1,1580,3211,2595,19,29,"125,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169","125:1,137:3,138:4,138:5,139:7,140:1,141:4,141:5,142:2,142:3,143:3,144:2,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
阶段×全距离点数,visible|2,980,9734,9705,19,30,"125,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169","125:1,137:3,138:4,138:5,139:7,140:1,141:4,141:5,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
阶段×全距离点数,visible|3,733,31302,31302,19,30,"125,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169","125:1,137:3,138:4,138:5,139:7,140:1,141:4,141:5,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
阶段×全距离点数,visible|4,252,46492,46492,14,25,"125,138,139,141,142,143,144,145,147,148,149,150,153,169","125:1,138:4,138:5,139:7,141:4,141:5,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,153:30550,153:30551,169:1",有覆盖
